[02-13 12:27:51] TP       :INFO    : Backup config/s1.yaml
[02-13 12:27:52] RLTrainer:INFO    : Environment Loaded
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:52] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] DDPGfD   :DEBUG   : Done: All experience added
[02-13 12:27:53] RLTrainer:INFO    : 100/100 Demo Trajectories Loaded. Total Experience=9900
[02-13 12:27:53] RLTrainer:INFO    : Run Pretrain
